[2022-03-22 11:22:02 PM-train.py-INFO:2022-03-22 23:22:02.329256, Epoch: [001/020], Step: [0001/4779], Loss: 2.4759]
[2022-03-22 11:22:04 PM-train.py-INFO:2022-03-22 23:22:04.400721, Epoch: [001/020], Step: [0006/4779], Loss: 2.4479]
[2022-03-22 11:22:06 PM-train.py-INFO:2022-03-22 23:22:06.482889, Epoch: [001/020], Step: [0011/4779], Loss: 2.3998]
[2022-03-22 11:22:08 PM-train.py-INFO:2022-03-22 23:22:08.486581, Epoch: [001/020], Step: [0016/4779], Loss: 2.3729]
[2022-03-22 11:22:10 PM-train.py-INFO:2022-03-22 23:22:10.492573, Epoch: [001/020], Step: [0021/4779], Loss: 2.2456]
[2022-03-22 11:22:12 PM-train.py-INFO:2022-03-22 23:22:12.486218, Epoch: [001/020], Step: [0026/4779], Loss: 2.2465]
[2022-03-22 11:22:14 PM-train.py-INFO:2022-03-22 23:22:14.490229, Epoch: [001/020], Step: [0031/4779], Loss: 2.1860]
[2022-03-22 11:22:16 PM-train.py-INFO:2022-03-22 23:22:16.500224, Epoch: [001/020], Step: [0036/4779], Loss: 2.1386]
[2022-03-22 11:22:18 PM-train.py-INFO:2022-03-22 23:22:18.487336, Epoch: [001/020], Step: [0041/4779], Loss: 2.0480]
[2022-03-22 11:22:20 PM-train.py-INFO:2022-03-22 23:22:20.495016, Epoch: [001/020], Step: [0046/4779], Loss: 2.0726]
[2022-03-22 11:22:22 PM-train.py-INFO:2022-03-22 23:22:22.489459, Epoch: [001/020], Step: [0051/4779], Loss: 2.0086]
[2022-03-22 11:22:24 PM-train.py-INFO:2022-03-22 23:22:24.487837, Epoch: [001/020], Step: [0056/4779], Loss: 1.9313]
[2022-03-22 11:22:26 PM-train.py-INFO:2022-03-22 23:22:26.496983, Epoch: [001/020], Step: [0061/4779], Loss: 1.9080]
[2022-03-22 11:22:28 PM-train.py-INFO:2022-03-22 23:22:28.588523, Epoch: [001/020], Step: [0066/4779], Loss: 1.9252]
[2022-03-22 11:22:30 PM-train.py-INFO:2022-03-22 23:22:30.593346, Epoch: [001/020], Step: [0071/4779], Loss: 1.8722]
[2022-03-22 11:22:32 PM-train.py-INFO:2022-03-22 23:22:32.595922, Epoch: [001/020], Step: [0076/4779], Loss: 1.8524]
[2022-03-22 11:22:34 PM-train.py-INFO:2022-03-22 23:22:34.672954, Epoch: [001/020], Step: [0081/4779], Loss: 1.8082]
[2022-03-22 11:22:36 PM-train.py-INFO:2022-03-22 23:22:36.695644, Epoch: [001/020], Step: [0086/4779], Loss: 1.8062]
[2022-03-22 11:22:38 PM-train.py-INFO:2022-03-22 23:22:38.787002, Epoch: [001/020], Step: [0091/4779], Loss: 1.7884]
[2022-03-22 11:22:40 PM-train.py-INFO:2022-03-22 23:22:40.782392, Epoch: [001/020], Step: [0096/4779], Loss: 1.7783]
